SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500144,"FINOLEX CABLES LTD.",A,STK,914,955.85,914,943.6,940,913.6,4335,130840,123341930,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,5236.95,5349,5074.65,5164.7,5164.7,5236.95,771,5991,31429268,
500148,"UFLEX LTD.",B,STK,402.35,409,399.05,406.1,407,402.3,81,775,313287,
500150,"FOSECO INDIA LTD.",B,STK,4614.1,4725,4590,4690.75,4715.75,4653.9,34,55,257432,
500151,"GOLDEN TOBACCO LTD.",Z,STK,27.3,28.09,27.3,27.91,27.51,26.76,29,720,20057,
500153,"GANESH BENZOPLAST LTD.",B,STK,97.4,99.25,96.76,99.04,99,97.64,359,30642,3013567,
500159,"METROGLOBAL LIMITED",X,STK,146,147,126,135.1,135.5,137.85,530,37185,4989007,
500160,"GTL LTD.",T,STK,7.5,7.8,7.5,7.63,7.6,7.66,136,53696,410243,
500163,"GODFREY PHILLIPS INDIA LTD.",A,STK,2175,2265.35,2175,2207.1,2207.1,2125.85,15083,243382,540707853,
500164,"GODREJ INDUSTRIES LTD.",A,STK,919.7,930.4,913.25,926.95,925.75,918.7,380,4583,4230099,
500165,"KANSAI NEROLAC PAINTS LTD.",A,STK,202,204.7,200,203.05,203.5,200.7,628,22073,4471299,
500166,"GOODRICKE GROUP LTD.",X,STK,164.95,170,162.45,168.55,168.25,162.3,140,10394,1742537,
500168,"GOODYEAR INDIA LTD.",B,STK,776.7,787.5,772.75,783.05,784.25,776.2,426,5786,4514493,
500170,"GTN INDUSTRIES LTD.",X,STK,24.5,24.87,23,24.03,24,23.52,20,4475,108378,
500171,"GHCL LTD.",A,STK,513.6,519.25,511.6,515.1,512,513.1,409,6840,3521302,
500173,"GFL LIMITED",B,STK,47.5,47.5,43.89,46.21,46.21,47.43,308,16081,747431,
500174,"GUJARAT LEASE FINANCING LTD.",B,STK,5.62,5.98,5.62,5.98,5.98,5.7,10,3149,18820,
500179,"HCL INFOSYSTEMS LTD.",B,STK,13.48,13.48,12.76,13.07,13.18,13.1,335,80599,1057962,
500180,"HDFC BANK LTD.",A,STK,792.5,803.9,788.3,799.9,799.9,795.5,34208,1590072,1271122723,
500182,"HERO MOTOCORP LTD.",A,STK,5158.4,5249.65,5131.95,5229.25,5229.25,5160.85,5663,39309,205187570,
500183,"HFCL LIMITED",A,STK,91.49,96.25,91.11,95.45,95.45,91.49,12266,3117416,290852717,
500184,"Himadri Speciality Chemical Lt",A,STK,488.5,495,487.55,493.15,493.15,489.15,2847,119774,58910238,
500185,"HINDUSTAN CONSTRUCTION CO.LTD.",A,STK,18.97,19.7,18.9,19.09,19.15,18.91,5035,2550333,49347174,
500186,"HINDUSTAN OIL EXPLORATION CO.L",B,STK,158.3,165.8,156.5,158.75,158.75,158.2,1116,99957,16135389,
500187,"AGI GREENPAC LIMITED",A,STK,581.4,589,574.7,585.45,586.15,574.45,436,9367,5464601,
500188,"HINDUSTAN ZINC LTD.",A,STK,594.2,594.9,581.9,592.35,592.35,592.45,3913,162192,95577348,
500189,"NDL Ventures Limited",B,STK,124.5,125.7,122.55,123.6,122.55,123.8,49,2977,370213,
500191,"HMT LTD.",Z,STK,62.91,66.5,62.91,65.12,64.25,63.58,57,7709,500014,
500192,"PRAG BOSIMI SYNTHETICS LTD.",X,STK,1.86,1.86,1.79,1.86,1.86,1.82,22,6082,11270,
500193,"HLV LIMITED",B,STK,8.89,9.4,8.53,9.07,9.07,8.55,378,113566,1005044,
500199,"I G PETROCHEMICALS LTD.",B,STK,413,431.55,413,424.1,421.2,415.35,171,4376,1869547,
500201,"INDIA GLYCOLS LTD.",B,STK,974.8,991.05,970,975.65,973.1,963.8,461,5856,5743531,
500202,"INDIA LEASE DEVELOPMENT LTD.",X,STK,7.72,7.72,7.72,7.72,7.72,7.72,3,200,1544,
500206,"MARGO FINANCE LIMITED",X,STK,69.02,69.4,66.01,66.2,66.2,69.02,15,249,16552,
500207,"INDO RAMA SYNTHETICS (INDIA) L",B,STK,39.4,39.87,39.02,39.41,39.3,39.62,140,3303,130131,
500209,"INFOSYS LTD.",A,STK,1310.1,1328.1,1306.25,1318.6,1318.6,1318.9,9488,379897,499791816,
500210,"INGERSOLL-RAND (INDIA) LTD.",A,STK,4072.55,4196.5,4072.55,4106.05,4091,4087.05,307,11254,46187352,
500213,"INTERNATIONAL TRAVEL HOUSE LTD",X,STK,349.8,349.95,347,348.3,347,343.3,56,987,343654,
500214,"ION EXCHANGE (INDIA) LTD.",A,STK,403.85,410.9,398.85,400.25,400.25,395.85,479,14365,5800244,
500215,"SUNDROP BRANDS LIMITED",B,STK,639.95,651,636.4,650.3,648,639.85,17,338,217775,
500219,"JAIN IRRIGATION SYSTEMS LTD.",A,STK,34.25,34.59,32.85,33.05,33.05,34.21,1706,2284988,75602137,
500220,"JASCH INDUSTRIES LTD.",X,STK,151.55,156.95,150,155.6,154,151.55,26,977,151327,
500227,"JINDAL POLY FILMS LTD.",B,STK,722.95,722.95,704.9,711.95,711.95,709.55,345,4571,3251221,
500228,"JSW STEEL LTD.",A,STK,1212,1241.85,1199,1239.9,1239.9,1215.55,4282,65494,80446324,
500233,"KAJARIA CERAMICS LTD.",A,STK,1186.8,1186.8,1162.35,1178.2,1177.8,1169.1,1514,11347,13320257,
500234,"KAKATIYA CEMENT SUGAR & INDUST",B,STK,112,118,107,118,118,111.3,11,149,17069,
500235,"KALYANI STEELS LTD.",B,STK,718.95,750.45,718.95,746.9,746.9,719.75,171,2552,1892846,
500238,"WHIRLPOOL OF INDIA LTD.",A,STK,854.95,900,850.05,888.55,888.55,848.55,2651,32263,28398233,
500239,"KG DENIM LTD.",X,STK,15.75,16.2,15,16.03,16,15.15,90,4599,72533,
500240,"KINETIC ENGINEERING LTD.",X,STK,248.45,249.65,236.05,239.75,239.75,245.05,217,18753,4557951,
500241,"KIRLOSKAR BROTHERS LTD.",A,STK,1738.3,1779.8,1738.3,1764.1,1757.35,1738.5,1008,8979,15840144,
500243,"KIRLOSKAR INDUSTRIES LTD",B,STK,3178,3230,3136.05,3183.85,3185,3153.1,98,936,3000166,
500245,"KIRLOSKAR FERROUS INDUSTRIES L",B,STK,455,455,437.3,447.9,442.45,441.95,2078,75650,33826706,
500246,"ENVAIR ELECTRODYNE LTD.",X,STK,46.61,51.2,46.61,49.66,49.11,46.55,40,2640,132285,
500247,"KOTAK MAHINDRA BANK LTD.",A,STK,379.4,385.3,377,383.5,383.5,379.4,6792,349963,134076642,
500249,"KSB LIMITED",A,STK,949.4,979.3,945.65,966.6,966.6,942.6,3768,117515,112940011,
500250,"L.G.BALAKRISHNAN & BROS.LTD.",B,STK,1750.85,1798,1750.85,1752.6,1753,1732.25,189,1046,1856086,
500251,"TRENT LTD.",A,STK,4085.3,4165,4085.3,4105.95,4105.95,4084.3,6846,56899,234595000,
500252,"LMW Limited",A,STK,14032.95,14400,14000,14357.85,14300,13845.45,106,185,2631107,
500253,"LIC HOUSING FINANCE LTD.",A,STK,534.65,541.4,532.65,540.05,539,534.85,4093,86185,46347968,
500257,"LUPIN LTD.",A,STK,2322.3,2334.15,2302.6,2324.25,2321.4,2326.5,2248,39022,90557929,
500259,"LYKA LABS LTD.",T,STK,60,60.4,57.35,58.16,58.16,57.6,32,1291,76259,
500260,"THE RAMCO CEMENTS LIMITED",A,STK,1015.95,1018.2,996.1,1011.45,1014.45,1001.15,253,4156,4197103,
500262,"HYBRID FINANCIAL SERVICES LIMI",B,STK,24.79,24.79,21.59,22.34,22.34,21.39,9,93,2167,
500264,"MAFATLAL INDUSTRIES LTD.",B,STK,132.15,134.35,131.95,132.4,132.4,132.8,413,46327,6153253,
500265,"MAHARASHTRA SEAMLESS LTD.",A,STK,641.95,652.15,641,643.7,645.2,642.65,451,8666,5602832,
500266,"MAHARASHTRA SCOOTERS LTD.",A,STK,13079.95,13190,13052.45,13099.7,13074.65,12959.3,71,287,3764824,
500267,"MAJESTIC AUTO LTD.",X,STK,321.9,327.5,315.05,318.85,317,315.35,134,5363,1726930,
500268,"MANALI PETROCHEMICAL LTD.",B,STK,55,55.4,54.45,55.18,55.29,54.79,237,20863,1146076,
500270,"BARODA RAYON CORPORATION LTD.",X,STK,114.45,114.45,111,113.75,113.75,113,40,663,74725,
500271,"Max Financial Services Limited",A,STK,1693.75,1695.2,1669.5,1682,1669.5,1694.85,1577,163901,274653385,
500277,"MID INDIA INDUSTRIES LTD.",X,STK,6.75,7.19,6.75,7.04,7.1,6.62,13,3677,26012,
500279,"MIRC ELECTRONICS LTD.",B,STK,31.45,31.91,31.2,31.63,31.65,31.4,400,116051,3661404,
500280,"CENTURY ENKA LTD.",B,STK,439.95,440,429.55,436.55,433.65,429.05,37,285,123982,
500282,"MODERN THREADS (INDIA) LTD.",B,STK,46.6,49.9,46.6,49.9,49.9,47.55,11,4442,208445,
500284,"LORDS CHLORO ALKALI LTD.",B,STK,157,160,156.2,158.7,157,159,68,729,115787,
500285,"SPICEJET LTD.",A,STK,14.84,14.84,13.81,13.88,13.88,14.14,32821,51432463,737855459,
500288,"MOREPEN LABORATORIES LTD.",A,STK,41.4,43.06,41,41.92,41.92,41.13,1288,469635,19691323,
500290,"MRF LTD.",A,STK,139100.05,139993.1,138196.05,139772.65,139681.5,138752.55,499,625,87162639,
500292,"HEIDELBERGCEMENT INDIA LTD.",B,STK,160,160.9,158,160.1,160.75,158.45,659,12757,2040087,
500294,"NCC LIMITED",A,STK,161.65,163.65,159.5,161.3,161.3,160.5,3532,359417,58034673,
500295,"VEDANTA LIMITED",A,STK,784.7,791,771.85,787.6,787.6,782.75,10725,611082,477258372,
500296,"NAHAR SPINNING MILLS LTD.",B,STK,245.6,250.5,240.85,249.2,247.25,248.1,242,7978,1982237,
500298,"Naperol Investments Limited",X,STK,634.95,634.95,616.8,625.5,625.5,621.95,65,818,508750,
500300,"GRASIM INDUSTRIES LTD.",A,STK,2703.55,2735,2692.2,2718.25,2714.1,2716.3,1751,14640,39800558,
500304,"NIIT LTD.",B,STK,71.22,74.14,71.15,72.03,72.1,70.51,559,45915,3340628,
500306,"Jaykay Enterprises Limited",B,STK,164.85,166.4,161.9,164.25,164.25,161.35,586,15512,2545427,
500307,"NIRLON LTD.",B,STK,537.65,540,534.05,537.55,537.55,535.2,258,11063,5938181,
500312,"OIL AND NATURAL GAS CORPORATIO",A,STK,284.8,285.5,282.05,283.95,283.95,282.75,7513,792563,225137260,
500313,"OIL COUNTRY TUBULAR LTD.",B,STK,49,55.63,47.51,55.63,55.63,46.36,106,7987,415136,
500314,"ORIENTAL HOTELS LTD.",B,STK,101.1,101.1,96.89,98.08,99,99.42,243,8522,833865,
500317,"OSWAL AGRO MILLS LTD.",B,STK,50.31,51.95,49.69,51.2,51.2,50.31,75,2152,110301,
500319,"INDIAN SUCROSE LTD.",X,STK,78.89,82.5,78.25,82.09,82.5,77.57,144,16561,1335977,
500322,"PANYAM CEMENTS & MINERAL INDUS",XT,STK,116.7,122.5,116.7,122.5,122.5,116.7,10,280,34138,
500325,"RELIANCE INDUSTRIES LTD.",A,STK,1340,1367.7,1340,1365.1,1365.1,1343.45,24397,1367801,1850796659,
500327,"Pil Italica Lifestyle Limited",B,STK,7.29,8.36,7.11,8.3,8.34,7.02,284,50006,393286,
